"Name","abv","year","PriceRetail","Appellation_Region_Name","Varietal_Name","Varietal_WineType_Name","Winemakers_Notes"
"Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon 2009",14,2009,95,"California","Cabernet Sauvignon","Red Wines","This wine opens with generous aromas of bright raspberry, sandalwood, vanilla and anise along with the signature bright cherry note of the vineyard. The aromas are followed by an alluring mix of red cherry, blueberry and tangerine that envelop the palate with nuances of vanilla and spice from careful aging in French oak barrels. The palate is lush with ripe tannins, balanced acidity and a persistent berry/cherry finish. Enjoy with spice-rubbed rack of lamb or roasted duck with a cherry sauce."
"Leeuwin Estate Art Series Cabernet Sauvignon 2006",13,2006,45,"Australia","Cabernet Sauvignon","Red Wines","Intense varietal Cabernet Sauvignon aromas of striking blackcurrants and cherries combining with aromatics of fragrant violets, bay leaf, anise, clove dried tobacco, and pencil-like oak. A balanced palate exhibits plump dark forest fruits. Dried sage, coffee bean, slight char and anise rise to a finish which is characterized by structural cocoa powderlike tannins."
"Elderton Command Shiraz 2002",14.5,2002,75,"Australia","Syrah/Shiraz","Red Wines","Long term maturation and 12 months bottle age prior to release, make this quality wine complex and balanced with a long term cellaring potential."
"Terlano Pinot Nero 2012",13.5,2012,25.99,"Italy","Pinot Noir","Red Wines","This Pinot Noir is ruby-red in color with a delicate berry and dried fruit aroma. It has a dry medium-bodied taste, with lively acidity and a light trace of tannin. Delicious with ?sh dishes and many other foods."
"Marchesi di Barolo Barolo 2006",14,2006,55,"Italy","Nebbiolo","Red Wines","Garnet-red in color with ruby shades. An intense nose with clean scents of spices, vanilla, roasted hazelnuts, liquorices, cacao and wild rose. A full, elegant flavor, austere and good-bodied, with recurring olfactory sensations. The hints of spices and of wood blend perfectly. Thanks to its big structure, this wine pairs exceptionally well with main courses of red meats, braised dishes and game in general. An ideal accompaniment for cheeses."
"Errazuriz Max Reserva Pinot Noir 2011",13.5,2011,16.99,"South America","Pinot Noir","Red Wines","Offers sweet aromas that recall rosehips, cherries, and pomegranate, along with light tobacco and wet earth notes. The palate displays moderate volume, great smoothness, and a refreshing acidity that adds nerviness to the wine, all framed in subtle spicy and smoky notes. With good persistence on the palate, this young wine will age well for 5 to 7 years in the bottle."
"Renato Ratti Barbera d'Asti 2010",14,2010,19.99,"Italy","Barbera","Red Wines","Renato Ratti Barbera d'Asti is intense, ruby red. There is a bouquet of ripe fruit with an undercurrent of spices. A full-flavored wine, with long persistence. Since 2009 vintage Renato Ratti decided to bottle part of Barbera which comes from Villa Pattono vineyards in Costigliole d'Asti separately. The wine is a classic Barbera d'Asti, full-bodied and with a typical acidity suited for traditional Mediterranean cooking."
"Parducci Small Lot Blend Pinot Noir 2011",14,2011,13.99,"California","Pinot Noir","Red Wines","Our Pinot Noir offers aromas of juicy, ripe raspberries and strawberries. Its berry flavors are full and rich on the palate, picking up a hint of cedar on the finish. Enjoy this medium-bodied red wine with grilled salmon, pork tenderloin, creamy mushroom soup, and fine cuts of red meat."
"Paul Dolan Vineyards Organic Pinot Noir 2007",14.5,2007,30,"California","Pinot Noir","Red Wines","Medium-bodied, this wine is a harmonious blend of flavors: wild berries, luscious cherries, and the spicy vanilla of toasted oak. This wine is the unique expression of a carefully nurtured piece of land, made manifest in each bottle. We do without conventional pesticides and synthetic fertilizers, treating the soil as a living, life giving system. Our wine growing practices create special wines, and sustain the land. They also sustain our environment, the place where we live, and the people who live here. 100% Organically Grown Grapes, C.C.O.F. Certified"
"Girard Old Vine Zinfandel 2007",14.7,2007,24,"California","Zinfandel","Red Wines","The vineyard sources for our 2007 Old Vine Zinfandel are: Blue Ridge and Morgan Vineyards on Mt. Vaca; Godward Vineyard in Calistoga. Mt. Vaca is the highest peak of the Vaca range, which forms the Eastern border of the Napa Valley. Many of the Zinfandel vines are over a century old. The fruit concentration from these mountain vineyards and the century-old valley floor vineyards ensure our Old Vine Zinfandel has rich flavor extraction, a fruit-forward palate and wonderful layers of complexity from multiple soil types. Our 2007 vintage Old Vine Zinfandel is a medium-bodied wine of lush, wellintegrated tannins and crisp, bright acidity. The aroma/flavor profile includes: Kirsch, raspberry preserves, red licorice and dark plums with subtle notes of tobacco, dried hay and cedar. The blend is 86% Zinfandel, 9% Charbono and 5% Mourvedre."
"Goats do Roam Red 2009",13.7,2009,9.29,"South Africa","Rhone Red Blends","Red Wines","Vibrant ruby red color. Spicy red fruit on the nose with hints of black cherry. Medium bodied palate, with good length and structure ending in a smooth finish. Flavours of ripe fruit and sweet oak. Shiraz 72%, Cinsaut 15%, Grenache 7%, Mourvedre 4%, Carignan 2%."
"The Lucky Country Shiraz 2010",14.5,2010,18,"Australia","Syrah/Shiraz","Red Wines","Deep red in color. Very McLaren Vale! Initially full of dark fruits and chocolate/mocha notes, but upon a second look, aromas of grilled meats, vanilla bean and spice become quite prevalent. The palate starts out soft, but the fleshy plums and vanilla spice slowly build to more savory characters delivering a long finish balanced with earthy chewy tannins. Made of 100% Shiraz."
"Craggy Range Winery Te Muna Road Vineyard Pinot Noir 2011",13.7,2011,46.99,"New Zealand","Pinot Noir","Red Wines","Shows prominent black cherry and boysenberry aromas, with rose petal, bark, and fresh mint notes. Rich oak, mushroom, soy and dried herb palate flavors are intriguing, adding complexity to the sweet, dark-fruited core."
"Obsidian Ridge Half Mile 2009",14.4,2009,60,"California","Cabernet Sauvignon","Red Wines","Gorgeously ripened black fruit aromas leap from the glass, framed by the warm clove and cinnamon spice notes of the Tokaji barrels. There is an indelible pedigree and power to this wine, as it is as dark in color and plush in texture as one can imagine a wine to be. This character comes from the drought-suffering berries which really struggled to grow to full size, and in the final days of the season, lost a fifth of their weight due to evaporation from an astonishing dry spell. But it was precisely these conditions that provided the power, weight and density that makes this wine extraordinary. It is a show stopper."
"Pahlmeyer Jayson Red 2011",15.2,2011,49.99,"California","Bordeaux Red Blends","Red Wines","Bright cherry, freesia, and cassis bud aromas lead into plush forest floor and sweet pine in the nose. The wine balances earthy minerality and ripe fruit with a velvety, lingering finish of mocha and cream. Blend: 67% Cabernet Sauvignon, 17% Cabernet Franc, 12% Merlot, 4% Petit Verdot"
"Ghost Pines Merlot 2008",14.2,2008,20,"California","Merlot","Red Wines","Sourcing from both the Sonoma and Napa appellations allows our winemaker to blend a wine which accentuates the best of what each region has to offer. Our 2008 Merlot was heavily skewed towards Sonoma County sourcing, which is evident in the abundance of jammy mixed berries in the aroma and flavors. The 10% Napa County Merlot gave the wine some added structure to balance out the fruit. And mocha undertones from French oak gave the wine complexity and irresistible chocolate covered black cherry notes. The result is a wine that lives up to our philosophy; excellence has no boundaries. Varietal Content: 93% Merlot, 3% Petite Sirah, 2% Cabernet Sauvignon, 1% Petit Verdot, 1% Other Varietal Origin: 90% Sonoma County, 10% Napa County"
"Gaja Ca'Marcanda Magari 2007",14.5,2007,89,"Italy","Bordeaux Red Blends","Red Wines","Blend: 50% Merlot, 25% Cabernet Sauvignon, 25% Cabernet Franc The word Magari has several meanings: if only, would that it were true, perhaps. Ca'Marcanda's unique combination of terre brune (dark soils: loam and clay) and terre blanche (white soils: stones and pebbles) is reflected in Magari. On the nose the Magari has lush M erlot fruit and spicy Cabernet aromas. On the palate, Magari showcases the essence of the upper Maremma. It's a full, rich, well-rounded wine with an elegant, silky finish."
"Kendall-Jackson Vintner's Reserve Cabernet Sauvignon 2011",13.5,2011,24,"California","Cabernet Sauvignon","Red Wines","Aromas of lush black cherry, blackberry and cassis draw you in. Round and rich tannins pr ovide a robust backbone and supple mid-palate. Notes of cedar, vanilla and a hint of mocha linger on the finish. Blend: 87% Cabernet Sauvignon, 5% Cabernet Franc, 4% Petit Verdot, 3% Merlot, 1% Malbec"
"Neyers Syrah Cuvee D'Honneur 2005",14.1,2005,48.99,"California","Syrah/Shiraz","Red Wines","Given the historically high interest in 'natural' products of all types, it's no surprise that wines made with lower than normal levels of sulphites would begin to develop a following. This is especially true in France, where a handful of talented young winemakers are producing some of the most exciting wines in their appellations by taking a 'non-intervention' approach to winemaking. It's a high stakes gamble that requires enormous attention to detail, along with a fresh approach to traditional cellar practices. One of the acknowledged leaders of the movement is Thierry Allemand of Cornas, whose 'Cuvee Special' Cornas is thought to be the benchmark example of Northern Rhone Syrah. Allemand has kindly shared his winemaking ideas with us over the years, encouraging us to try these techniques with our Syrah. We have recognized his role by naming the resulting wine 'Cuvee d'Honneur'. In 2005, our Cuvee d'Honneur Syrah took a dramatic step forward in both complexity and intensity. The production remains small, by necessity -- less than 10 barrels. The aroma is a striking combination of multiple spices, with earthy tones of bacon fat and leather. The real charm, though, is the underlying fruit. Big, grapey and supple, this wine is a textbook example of the heights reachable with old world technique and new world fruit."
"Louis Martini Monte Rosso Cabernet Sauvignon 2007",15.3,2007,85,"California","Cabernet Sauvignon","Red Wines","The Monte Rosso Cabernet Sauvignon is a hand crafted wine sourced from the best vineyard blocks within Monte Rosso. This is a full-bodied wine revealing melted chocolate, black cherry, and earthy aromatics with accents of anise and brown spice. The dark concentrated fruit interlaces with firm, velvety tannins to result in a balanced wine with a long, lingering finish. It is a perfect complement to warm, earthy dishes, game and red meat such as wild boar, venison and grilled filet mignon. One of our best vintages yet."
"Hess Select Treo Winemaker's Blend 2010",13.5,2010,19.99,"California","Other Red Blends","Red Wines","This blend of Merlot, Syrah and Petite Sirah has aromas of wild cherry, plum, vanilla, wild berry and black currant jam. It enters the palate with juicy flavors of cranberry, pomegranate and black cherry, while the finish is long and soft."
"B.R. Cohn Olive Hill Estate Cabernet Sauvignon 2008",14.3,2008,52.99,"California","Cabernet Sauvignon","Red Wines","The warm 2008 growing season, along with a very low crop and smaller concentrated berries yielded us one of our best Cabernets to date. This wine has pronounced aromas and flavors of plum, black currant and cherry. Luscious berry and cherry flavors fill the palate, and silky tannins follow through to a warm, lasting finish."
